    bir, sıfat
    ve, bağlaç
    olmak, fiil
    bu, zamir
    için, edat
    o, zamir
    ben, zamir
    demek, fiil
    çok, sıfat
    yapmak, fiil
    ne, zarf
    gibi, bağlaç
    daha, sıfat
    almak, fiil
    var, sıfat
    kendi, zamir
    gelmek, fiil
    ile, bağlaç
    vermek, fiil
    ama, bağlaç
    sonra, edat
    kadar, edat
    yer, isim
    en, isim
    insan, isim
    değil, isim
    her, sıfat
    istemek, fiil
    yıl, isim
    çıkmak, fiil
    görmek, fiil
    gün, isim
    biz, zamir
    gitmek, fiil
    iş, isim
    şey, isim
    ara, isim
    ki, bağlaç
    bilmek, fiil
    el, isim
    zaman, isim
    ya, bağlaç
    çocuk, isim
    iki, sıfat
    bakmak, fiil
    çalışmak, fiil
    içinde, isim
    büyük, sıfat
    yok, zarf
    başlamak, fiil
    yol, isim
    kalmak, fiil
    neden, isim
    siz, zamir
    konu, isim
    yapılmak, fiil
    iyi, sıfat
    kadın, isim
    ev, isim
    ise, ek eylem
    diye, zarf
    bulunmak, fiil
    söylemek, fiil
    göz, isim
    gerekmek, fiil
    dünya, isim
    baş, isim
    durum, isim
    yan, isim
    geçmek, fiil
    sen, zamir
    onlar, zamir
    yeni, sıfat
    önce, zarf
    başka, sıfat
    hâl, isim
    orta, sıfat
    su, isim
    girmek, fiil
    ülke, isim
    yemek, fiil
    hiç, zarf
    bile, zarf
    nasıl, zarf
    bütün, sıfat
    karşı, edat
    bulmak, fiil
    böyle, sıfat
    yaşamak, fiil
    düşünmek, fiil
    aynı, sıfat
    iç, isim
    ancak, zarf
    kişi, isim
    bunlar, zamir
    veya, bağlaç
    ilk, sıfat
    göre, zarf
    ön, sıfat
    son, isim
    biri, zamir
    şekil, isim
    önemli, sıfat
    yüz, isim
    hem, bağlaç
    göstermek, fiil
    etmek, fiil
    alt, sıfat
    getirmek, fiil
    kullanmak, fiil
    çünkü, bağlaç
    taraf, isim
    şimdi, zarf
    adam, isim
    onun, zamir
    diğer, sıfat
    artık, zarf
    üzerinde, zarf
    ses, isim
    hep, zarf
    doğru, sıfat
    durmak, fiil
    kız, isim
    tüm, sıfat
    çekmek, fiil
    konuşmak, fiil
    para, isim
    anlamak, fiil
    anne, isim
    az, sıfat
    bazı, sıfat
    baba, isim
    hayat, isim
    sadece, zarf
    küçük, sıfat
    fazla, sıfat
    bilgi, isim
